docket_id,ip_type,jurisdiction,title_or_mark,registration_number,application_number,owner_canon_id,event_type,statutory_basis,anniversary_date,window_opens,due_date,grace_ends,internal_working_date,estimated_fee_usd,late_surcharge_usd,responsible,backup,status,notes
ADI-P-0021-US,patent,US,Distributed schema reconciliation for heterogeneous event streams,"US 9,118,442 B2",14/218035,co-002,maintenance_fee_11_5_year,35 U.S.C. 41(b); 37 C.F.R. 1.362,2015-08-04,2026-08-04,2027-02-04,2027-08-04,2026-12-04,8280,550,Devraj S. Iyer,Cordelia B. Nwosu,scheduled,"Internal working date is due date less 60 days (2026-12-06, a Sunday) moved earlier to the preceding business day."
ADI-P-0034-US,patent,US,Backpressure-aware batching for streaming ingestion,"US 10,477,905 B2",15/914772,co-002,maintenance_fee_7_5_year,35 U.S.C. 41(b); 37 C.F.R. 1.362,2019-11-19,2026-11-19,2027-05-19,2027-11-19,2027-03-19,4040,550,Devraj S. Iyer,Cordelia B. Nwosu,scheduled,"Internal working date is due date less 60 days (2027-03-20, a Saturday) moved earlier to the preceding business day."
ADI-P-0052-US,patent,US,Policy compilation for role-graph entitlement resolution,"US 11,538,116 B2",17/104660,co-002,maintenance_fee_3_5_year,35 U.S.C. 41(b); 37 C.F.R. 1.362,2022-12-06,2025-12-06,2026-06-08,2026-12-07,2026-04-07,2150,550,Devraj S. Iyer,Naomi F. Aitken,IN_GRACE_SURCHARGE_REQUIRED,"EXC-1. Statutory due date 2026-06-06 fell on a Saturday and rolled to Monday 2026-06-08; fee not paid. Grace end 2026-12-06 falls on a Sunday and rolls to Monday 2026-12-07. Payment with 37 C.F.R. 1.20(h) surcharge authorized for 2026-07-08. Prior responsible person left the company; no backup was named."
ADI-P-0061-US,patent,US,Deterministic replay of pipeline state for audit reconstruction,"US 11,764,203 B2",17/889413,co-002,maintenance_fee_3_5_year,35 U.S.C. 41(b); 37 C.F.R. 1.362,2023-09-12,2026-09-12,2027-03-12,2027-09-13,2027-01-11,2150,550,Devraj S. Iyer,Cordelia B. Nwosu,scheduled,"Grace end 2027-09-12 falls on a Sunday and rolls to Monday 2027-09-13 under 37 C.F.R. 1.7."
ADI-P-0075-US,patent_application,US,Adaptive reordering window for out-of-order event arrival,,PCT/US2026/019884,co-002,pct_national_phase_entry,35 U.S.C. 371; 37 C.F.R. 1.495,2025-01-14,,2027-07-14,,2027-03-16,0,0,Devraj S. Iyer,Nadia S. Feldkamp,scheduled,"Thirty months from earliest priority date 2025-01-14. Internal working date is due less 120 days for translation and claim amendment. Foreign associate instructions required in EP and JP on the same schedule."
ADI-P-0034-EP,patent,EP validated DE FR GB,Backpressure-aware batching for streaming ingestion,EP 3 592 118 B1,,co-002,national_annuity_year_9,National law of each validation state; consolidated by annuity agent,2018-03-31,,2027-03-31,2027-09-30,2026-12-31,6900,1725,Devraj S. Iyer,Nadia S. Feldkamp,scheduled,"Single consolidated docket entry; constituent national due dates held by the annuity agent. Six-month national grace with surcharge."
ADI-TM-0004-US,trademark,US,ATTICUS DUNDEE,"6,214,905",88/941206,co-002,section_8_declaration_and_section_15,15 U.S.C. 1058; 15 U.S.C. 1065,2021-11-30,2026-11-30,2027-11-30,2028-05-30,2027-09-01,425,150,Lucia M. Ferrante,Devraj S. Iyer,scheduled,"Classes 9 and 42. Section 15 incontestability filed together with the first Section 8; Section 15 has no deadline and is filed for the benefit, not to avoid a loss. Fee shown is Section 8 plus Section 15 for one class each."
ADI-TM-0009-US,trademark,US,SIGNALPOST,"6,502,331",90/118443,co-002,section_8_declaration,15 U.S.C. 1058,2022-04-19,2027-04-19,2028-04-19,2028-10-19,2028-01-20,450,300,Lucia M. Ferrante,Devraj S. Iyer,scheduled,"Classes 9 and 42, two classes at 225 each. Specimens of current use must be collected from product marketing 90 days ahead."
ADI-TM-0002-US,trademark,US,LEDGERLINE,"5,412,668",87/336019,co-002,sections_8_and_9_renewal,"15 U.S.C. 1058, 1059",2018-02-27,2027-02-27,2028-02-28,2028-08-28,2027-11-29,550,300,Lucia M. Ferrante,Devraj S. Iyer,scheduled,"Class 9. Statutory due date 2028-02-27 falls on a Sunday and rolls to Monday 2028-02-28 under 37 C.F.R. 2.196; grace end 2028-08-27 also falls on a Sunday and rolls to Monday 2028-08-28. Internal working date computed from the unrolled date."
ADI-TM-0014-US,trademark_application,US,PIPEWEAVE,,98/442117,co-002,statement_of_use_or_extension_request,15 U.S.C. 1051(d); 37 C.F.R. 2.89,2026-05-12,,2026-11-12,2029-05-14,2026-09-11,150,0,Lucia M. Ferrante,Aleksy Pietrzak,scheduled,"Intent-to-use application; notice of allowance issued 2026-05-12. First statement of use or extension request due six months from the notice of allowance. Five successive six-month extensions available to a maximum of thirty-six months, ending 2029-05-12, a Saturday, rolling to Monday 2029-05-14. Internal working date is due less 60 days (2026-09-13, a Sunday) moved earlier."
