task_id,close_day,task,category,owner_role,reviewer_role,depends_on,evidence_required,status,completed_date,notes
CLS-01,D+1,Import the final bank statement for the period,cash,Staff Accountant,Controller,,bank statement export for every account,,,
CLS-02,D+1,Close the payables subledger to new postings,payables,AP Clerk,Finance Manager,,subledger close confirmation,,,
CLS-03,D+1,Close the receivables subledger to new postings,receivables,AR Clerk,Finance Manager,,subledger close confirmation,,,
CLS-04,D+1,Reconcile the operating account to the cash ledger,cash,Staff Accountant,Controller,CLS-01,reconciliation working paper showing the adjusted balances,,,
CLS-05,D+1,List the checks issued and not cleared at period end,cash,Staff Accountant,Controller,CLS-04,outstanding check listing agreed to the ledger,,,
CLS-06,D+2,Age the open receivables and agree the total to the control account,receivables,AR Clerk,Finance Manager,CLS-03,aging report with the control account tie,,,
CLS-07,D+2,Review credit memos issued and cash received but not applied,receivables,AR Clerk,Controller,CLS-06,credit memo and unapplied cash listing,,,
CLS-08,D+2,Match invoices received to their orders and receipts,payables,AP Clerk,Finance Manager,CLS-02,three way match exception report,,,
CLS-09,D+2,Agree the payables subledger to the control account,payables,AP Clerk,Controller,CLS-08,payables tie out working paper,,,
CLS-10,D+2,Reconcile payroll funding to the payroll register,payroll,Staff Accountant,Finance Manager,CLS-04,payroll register reconciliation,,,
CLS-11,D+3,Accrue for goods and services received and not yet invoiced,accruals,Staff Accountant,Controller,CLS-08,accrual roll forward schedule,,,
CLS-12,D+3,Update the prepaid amortization schedules,accruals,Staff Accountant,Finance Manager,,prepaid schedule with the monthly amortization,,,
CLS-13,D+3,"Accrue unpaid wages, bonus and commission",payroll,Staff Accountant,Controller,CLS-10,payroll accrual schedule,,,
CLS-14,D+3,Recognize subscription revenue and roll the deferred balance,revenue,FP&A Analyst,Controller,CLS-06,deferred revenue roll forward,,,
CLS-15,D+3,Post the close journal batch,accruals,Staff Accountant,Controller,CLS-11,journal batch with support attached to every entry,,,
CLS-16,D+4,Produce the pre-close trial balance,reporting,Staff Accountant,Controller,CLS-15,trial balance with debits equal to credits,,,
CLS-17,D+4,Explain every variance above the reporting threshold,reporting,FP&A Analyst,Finance Manager,CLS-16,budget versus actual with a written explanation per line,,,
CLS-18,D+4,Confirm no person both prepared and approved an entry,controls,Finance Manager,Controller,CLS-15,segregation of duties exception report,,,
CLS-19,D+4,Confirm every entry in the batch carries supporting evidence,controls,Finance Manager,Controller,CLS-15,evidence index by entry,,,
CLS-20,D+4,Draft the close memo with the period result,reporting,Controller,"Director, Finance",CLS-17,"close memo draft, figures cited to their source",,,
CLS-21,D+5,Review the finance system access list against current roles,controls,Finance Manager,"Director, Finance",,access review with a sign off per exception,,,
CLS-22,D+5,Assemble the evidence binder for the period,reporting,Staff Accountant,Controller,CLS-20,"evidence binder index, one folder per reconciliation",,,
CLS-23,D+5,Approve the close and lock the period,reporting,Controller,"VP, Finance",CLS-22,period lock confirmation,,,
CLS-24,D+5,Log the open items carried into the next close,controls,Finance Manager,Controller,CLS-23,open item log with an owner and a due date,,,
