item_id,sequence,phase,item,owner_role,evidence_required,related_milestone_id,status
KCK-LDB-01,1,before_kickoff,Confirm the walkthrough date and time with the client,project lead,no,,
KCK-LDB-02,2,before_kickoff,Send the site protection and access plan to the client,project lead,yes,,
KCK-LDB-03,3,before_kickoff,Confirm the crew list and which trades attend the walkthrough,owner,no,,
KCK-LDB-04,4,before_kickoff,Print the approved scope and the selections sheet for the walkthrough,project lead,no,,
KCK-LDB-05,5,before_kickoff,Check that the signed contract and the returned intake questionnaire are both on file,owner,yes,,
KCK-LDB-06,6,at_kickoff,Walk the work area with the client and agree the boundary of the site,project lead,yes,MST-LDB-01,
KCK-LDB-07,7,at_kickoff,Photograph every room in scope before any work starts,project lead,yes,MST-LDB-01,
KCK-LDB-08,8,at_kickoff,"Set out the dust barriers, the floor protection and the crew entry route",owner,yes,MST-LDB-01,
KCK-LDB-09,9,at_kickoff,"Confirm the site access hours, the key handover and where the crew parks",project lead,yes,MST-LDB-01,
KCK-LDB-10,10,at_kickoff,Introduce the day to day point of contact by role and agree how questions get raised,owner,no,,
KCK-LDB-11,11,after_kickoff,Circulate the walkthrough notes and the agreed site boundary to the client,project lead,yes,,
KCK-LDB-12,12,after_kickoff,File the condition photographs in the project folder,project lead,yes,,
KCK-LDB-13,13,after_kickoff,Confirm the material delivery window and where deliveries are stored on site,owner,no,,
KCK-LDB-14,14,after_kickoff,Add the agreed selection dates to the project schedule,project lead,no,,
