control_id,control_name,process,control_objective,control_type,frequency,key_control,owner_role,owner_employee_id,tester_employee_id,last_tested_date,next_due_date,test_result,exceptions_noted,evidence_artifact,evidence_reference,related_decision_id
CTL-001,Customer credit limit review before order release,order_to_cash,An order is released only within the credit limit held for that customer,preventive,quarterly,false,AR Clerk,EMP-0472,EMP-0463,2026-02-10,2026-05-10,pass,0,FIN-04,EVB-2026Q1-001,
CTL-002,Billing to the approved price list,order_to_cash,Every invoice is raised from the price list approved for that contract,preventive,monthly,false,AR Clerk,EMP-0474,EMP-0464,2026-03-11,2026-04-11,pass,0,FIN-04,EVB-2026Q1-002,
CTL-003,Cash application within two business days,order_to_cash,A receipt is applied to the paying customer within two business days,detective,monthly,false,AR Clerk,EMP-0479,EMP-0465,2026-03-12,2026-04-12,exception,2,FIN-02,EVB-2026Q1-003,
CTL-004,Approval of receivable write offs,order_to_cash,A receivable is written off only with approval at the delegated level,preventive,quarterly,true,Controller,EMP-0470,EMP-0466,2026-01-14,2026-04-14,pass,0,FIN-04,EVB-2026Q1-004,DA-12
CTL-005,Aging agreed to the control account,order_to_cash,The receivable aging agrees to the ledger control account every period,detective,monthly,false,AR Clerk,EMP-0484,EMP-0467,2026-03-13,2026-04-13,pass,0,FIN-05,EVB-2026Q1-005,
CTL-006,Purchase order approval before commitment,procure_to_pay,No commitment reaches a supplier before the order is approved in its band,preventive,monthly,true,AP Clerk,EMP-0475,EMP-0468,2026-03-09,2026-04-09,pass,0,FIN-10,,DA-10
CTL-007,Three way match before payment,procure_to_pay,An invoice is paid only where it matches its order and its receipt,preventive,monthly,false,AP Clerk,EMP-0482,EMP-0469,2026-03-10,2026-04-10,exception,4,FIN-07,EVB-2026Q1-006,
CTL-008,Vendor master change applied by a second person,procure_to_pay,The person who requests a vendor master change never applies it,preventive,quarterly,true,Controller,EMP-0473,EMP-0463,2026-01-20,2026-04-20,pass,0,FIN-06,EVB-2026Q1-007,DA-14
CTL-009,Duplicate invoice number blocked at entry,procure_to_pay,An invoice number already held for that supplier cannot be entered again,detective,monthly,false,AP Clerk,EMP-0485,EMP-0464,2026-03-16,2026-04-16,exception,1,FIN-07,EVB-2026Q1-008,
CTL-010,Accrual for goods and services received not invoiced,procure_to_pay,Goods and services received before period end are accrued in that period,detective,quarterly,false,Staff Accountant,EMP-0471,EMP-0465,2026-02-11,2026-05-11,not_tested,,FIN-09,,
CTL-011,Call back on a vendor bank detail change,procure_to_pay,A change to supplier bank details is confirmed by call back to a known contact,preventive,quarterly,true,Controller,EMP-0481,EMP-0466,2026-02-12,2026-05-12,pass,0,FIN-11,EVB-2026Q1-009,DA-16
CTL-012,Preparer and approver of an entry are different people,close,No person both prepares and approves the same journal entry,preventive,monthly,true,Controller,EMP-0470,EMP-0467,2026-03-17,2026-04-17,pass,0,FIN-09,EVB-2026Q1-010,DA-17
CTL-013,Supporting evidence attached to every entry,close,Every entry in the close batch carries the document that supports it,detective,monthly,true,Staff Accountant,EMP-0476,EMP-0468,2026-03-18,2026-04-18,exception,1,FIN-09,EVB-2026Q1-011,DA-17
CTL-014,Balance sheet reconciliations prepared and reviewed,close,Every balance sheet account is reconciled and reviewed before the close is approved,detective,monthly,false,Staff Accountant,EMP-0477,EMP-0469,2026-03-19,2026-04-19,pass,0,FIN-05,EVB-2026Q1-012,
CTL-015,Bank reconciliation within three business days of period end,close,The operating account is reconciled to the cash ledger within three business days,detective,monthly,false,Staff Accountant,EMP-0486,EMP-0463,2026-03-20,2026-04-20,pass,0,FIN-01,EVB-2026Q1-013,
CTL-016,Period locked once the close is approved,close,The period is closed to new postings as soon as the close is approved,preventive,monthly,true,Controller,EMP-0473,EMP-0464,2026-03-23,2026-04-23,pass,0,FIN-05,EVB-2026Q1-014,DA-19
CTL-017,Written explanation for a manual adjustment above the threshold,close,A manual adjustment above the reporting threshold carries a written explanation,detective,quarterly,false,FP&A Analyst,EMP-0478,EMP-0465,2026-02-17,2026-05-17,not_tested,,FIN-09,,
CTL-018,Quarterly review of the finance system access list,access,Finance system access is compared against current roles every quarter,detective,quarterly,false,Controller,EMP-0481,EMP-0466,2026-01-07,2026-04-07,not_tested,,FIN-19,,
CTL-019,Approval before finance system access is granted,access,New access to a finance system is approved by its owner before it is granted,preventive,quarterly,false,Controller,EMP-0470,EMP-0467,2026-02-18,2026-05-18,pass,0,CORE-04,EVB-2026Q1-015,
CTL-020,Posting access restricted to named administrators,access,The right to post journal entries is held only by named administrators,preventive,quarterly,false,Controller,EMP-0473,EMP-0468,2026-02-19,2026-05-19,pass,0,FIN-19,EVB-2026Q1-016,
CTL-021,Recorded approval before finance data leaves the approved environment,access,Finance data reaches an outside processor only with recorded approval,preventive,annual,true,"VP, Finance",EMP-0462,EMP-0469,2025-09-15,2026-09-15,not_tested,,FIN-39,,DA-15
CTL-022,Dual approval before a payment run is released,treasury,A payment run reaches the bank only after two approvals are recorded,preventive,monthly,true,Controller,EMP-0481,EMP-0463,2026-03-24,2026-04-24,pass,0,FIN-08,EVB-2026Q1-017,DA-18
CTL-023,Payment only to bank details held on the vendor master,treasury,A payment is made only to the bank details held on the approved vendor master,preventive,monthly,true,AP Clerk,EMP-0487,EMP-0464,2026-03-25,2026-04-25,pass,0,FIN-08,EVB-2026Q1-018,DA-16
CTL-024,Review and void of stale outstanding checks,treasury,A check outstanding past the stale date is reviewed and voided,detective,quarterly,false,Staff Accountant,EMP-0493,EMP-0465,2026-01-02,2026-04-02,not_tested,,FIN-03,,
CTL-025,Bank signatories confirmed against the authority schedule,treasury,The bank signatory list agrees to the delegated authority schedule,preventive,annual,false,"VP, Finance",EMP-0462,EMP-0466,2025-08-20,2026-08-20,not_tested,,FIN-39,,
CTL-026,Weekly cash position reporting,treasury,The cash position is reported to the treasury owner every week,detective,monthly,false,FP&A Analyst,EMP-0483,EMP-0467,2026-03-26,2026-04-26,pass,0,FIN-02,EVB-2026Q1-019,
