request_id,received_date,channel,requester_employee_id,stated_category,subject,body,status
HRQ-2026-0001,2026-03-23,helpdesk_form,EMP-0337,benefits,Which option allows a health savings account,"I am comparing the options under the medical plan before open enrollment. Which option lets me open a health savings account, and can I keep that account if I switch options later on?",untriaged
HRQ-2026-0002,2026-03-23,helpdesk_form,EMP-0034,leave_and_time_off,Parental leave eligibility,"My partner and I are adopting a child later this year. How long do I need to have worked here to be eligible for parental leave, and how far ahead do I need to tell my manager?",untriaged
HRQ-2026-0003,2026-03-24,chat,EMP-0491,leave_and_time_off,Bereavement days,My grandmother passed away over the weekend and I need to travel for the funeral. How many bereavement days can I take?,untriaged
HRQ-2026-0004,2026-03-24,email,EMP-0533,personal_details,New home address,"I moved last month and need to update my home address so my mail and tax forms reach me. Can you change it for me, or is there a form I should fill in myself?",untriaged
HRQ-2026-0005,2026-03-25,helpdesk_form,EMP-0053,policies_and_handbook,Expense report deadline,"I paid for a client dinner on my own card during a trip. How long do I have to file the expense report, and which receipts do I need to attach so it gets approved?",untriaged
HRQ-2026-0006,2026-03-25,email,EMP-0030,workplace_concern,Reporting without retaliation,"I saw something at work that I think breaks our rules, but I am worried about retaliation if I report it. How can I report it, and what protects me after I do?",untriaged
HRQ-2026-0007,2026-03-26,email,EMP-0408,pay_and_payroll,Pay dates,"I am not sure how often we are paid. When is the next pay date, and does it move when it falls on a public holiday?",untriaged
HRQ-2026-0008,2026-03-26,helpdesk_form,EMP-0270,leave_and_time_off,Time off next month,"I was diagnosed with a medical condition that needs treatment over the next few weeks, so I will be away some afternoons. Can I take a leave of absence for part of each week, and who will see the paperwork I send?",untriaged
HRQ-2026-0009,2026-03-27,email,EMP-0233,benefits,How much life insurance,How much life insurance does the Company give me without any cost to me? I do not have any other questions about that benefit right now.,untriaged
HRQ-2026-0010,2026-03-27,helpdesk_form,EMP-0452,policies_and_handbook,Working remotely,"I would like to spend a few weeks working from my family's house in another state. Does the remote work policy allow that, and who do I need to ask before I go?",untriaged
HRQ-2026-0011,2026-03-30,helpdesk_form,EMP-0312,benefits,Open enrollment dates,"When does the next open enrollment happen, and how long does the window stay open? I want to change my coverage for next year and would like to put the right days in my calendar so I do not miss it.",untriaged
HRQ-2026-0012,2026-03-30,chat,EMP-0024,policies_and_handbook,Work email on my own phone,"Can I read my work email on my own phone, or do I need a company device? If it is allowed, what do I have to install or set up on the phone first?",untriaged
HRQ-2026-0013,2026-03-31,helpdesk_form,EMP-0314,pay_and_payroll,Copy of my W-2,"I cannot find the W-2 form from last year and my accountant needs it this week to finish my return. Can someone send me a copy, or tell me where I can download it myself?",untriaged
HRQ-2026-0014,2026-03-31,helpdesk_form,EMP-0445,leave_and_time_off,Carrying over time off,"I still have paid time off left that I have not used. How much of it carries over into next year, and does unused sick leave carry over the same way or does it reset?",untriaged
HRQ-2026-0015,2026-04-01,helpdesk_form,EMP-0008,benefits,New frames,"My glasses broke last week and I need new frames. Does my vision coverage help with frames this year, and do I have to use a particular store for the plan to cover them?",untriaged
HRQ-2026-0016,2026-04-01,chat,EMP-0098,pay_and_payroll,Overtime approval,"My manager asked me to stay late to finish a release. Do I need written approval before I work overtime, and how does the extra time show up on my payslip afterwards?",untriaged
HRQ-2026-0017,2026-04-02,chat,EMP-0211,pay_and_payroll,Company match,"I contribute to the 401(k) out of every paycheck. How much does the Company add on top of what I put in, and when does the added money become mine to keep?",untriaged
HRQ-2026-0018,2026-04-02,email,EMP-0132,personal_details,Legal name change,"I have changed my legal name and I have the court paperwork. What do I need to send so my records, my email address and my badge all show the new name?",untriaged
HRQ-2026-0019,2026-04-03,helpdesk_form,EMP-0162,benefits,Commuter benefit for a transit pass,"I take the train into the office most days. Can I use the commuter benefit to buy a monthly transit pass before tax, and where do I sign up for it?",untriaged
HRQ-2026-0020,2026-04-03,email,EMP-0587,workplace_concern,Raising a complaint,"I want to raise a complaint about how a colleague keeps speaking to me in meetings. Who should I talk to first, and will the details stay private while it is looked at?",untriaged
