task_id,close_day,due_date,task,category,owner_role,owner_employee_id,reviewer_role,reviewer_employee_id,depends_on,evidence_required,account_code,status,completed_date,notes
CLS-01,D+1,2026-04-01,Import the final bank statement for the period,cash,Staff Accountant,EMP-0471,Controller,EMP-0470,,bank statement export for every account,,complete,2026-04-02,
CLS-02,D+1,2026-04-01,Close the payables subledger to new postings,payables,AP Clerk,EMP-0475,Finance Manager,EMP-0465,,subledger close confirmation,,complete,2026-04-02,
CLS-03,D+1,2026-04-01,Close the receivables subledger to new postings,receivables,AR Clerk,EMP-0472,Finance Manager,EMP-0466,,subledger close confirmation,,complete,2026-04-01,
CLS-04,D+1,2026-04-01,Reconcile the operating account to the cash ledger,cash,Staff Accountant,EMP-0476,Controller,EMP-0473,CLS-01,reconciliation working paper showing the adjusted balances,1010,complete,2026-04-02,
CLS-05,D+1,2026-04-01,List the checks issued and not cleared at period end,cash,Staff Accountant,EMP-0477,Controller,EMP-0481,CLS-04,outstanding check listing agreed to the ledger,,complete,2026-04-02,
CLS-06,D+2,2026-04-02,Age the open receivables and agree the total to the control account,receivables,AR Clerk,EMP-0474,Finance Manager,EMP-0467,CLS-03,aging report with the control account tie,1100,complete,2026-04-03,
CLS-07,D+2,2026-04-02,Review credit memos issued and cash received but not applied,receivables,AR Clerk,EMP-0479,Controller,EMP-0470,CLS-06,credit memo and unapplied cash listing,,complete,2026-04-03,
CLS-08,D+2,2026-04-02,Match invoices received to their orders and receipts,payables,AP Clerk,EMP-0482,Finance Manager,EMP-0468,CLS-02,three way match exception report,,complete,2026-04-02,
CLS-09,D+2,2026-04-02,Agree the payables subledger to the control account,payables,AP Clerk,EMP-0485,Controller,EMP-0473,CLS-08,payables tie out working paper,2000,in_progress,,
CLS-10,D+2,2026-04-02,Reconcile payroll funding to the payroll register,payroll,Staff Accountant,EMP-0486,Finance Manager,EMP-0469,CLS-04,payroll register reconciliation,1020,complete,2026-04-02,
CLS-11,D+3,2026-04-03,Accrue for goods and services received and not yet invoiced,accruals,Staff Accountant,EMP-0493,Controller,EMP-0481,CLS-08,accrual roll forward schedule,,complete,2026-04-03,
CLS-12,D+3,2026-04-03,Update the prepaid amortization schedules,accruals,Staff Accountant,EMP-0471,Finance Manager,EMP-0465,,prepaid schedule with the monthly amortization,,complete,2026-04-03,
CLS-13,D+3,2026-04-03,"Accrue unpaid wages, bonus and commission",payroll,Staff Accountant,EMP-0476,Controller,EMP-0470,CLS-10,payroll accrual schedule,,complete,2026-04-03,
CLS-14,D+3,2026-04-03,Recognize subscription revenue and roll the deferred balance,revenue,FP&A Analyst,EMP-0478,Controller,EMP-0473,CLS-06,deferred revenue roll forward,,not_started,,
CLS-15,D+3,2026-04-03,Post the close journal batch,accruals,Staff Accountant,EMP-0486,Controller,EMP-0473,CLS-11,journal batch with support attached to every entry,,complete,2026-04-03,
CLS-16,D+4,2026-04-06,Produce the pre-close trial balance,reporting,Staff Accountant,EMP-0486,Controller,EMP-0470,CLS-15,trial balance with debits equal to credits,,in_progress,,
CLS-17,D+4,2026-04-06,Explain every variance above the reporting threshold,reporting,FP&A Analyst,EMP-0480,Finance Manager,EMP-0466,CLS-16,budget versus actual with a written explanation per line,,not_started,,
CLS-18,D+4,2026-04-06,Confirm no person both prepared and approved an entry,controls,Finance Manager,EMP-0465,Controller,EMP-0473,CLS-15,segregation of duties exception report,,in_progress,,
CLS-19,D+4,2026-04-06,Confirm every entry in the batch carries supporting evidence,controls,Finance Manager,EMP-0466,Controller,EMP-0481,CLS-15,evidence index by entry,,in_progress,,
CLS-20,D+4,2026-04-06,Draft the close memo with the period result,reporting,Controller,EMP-0470,"Director, Finance",EMP-0463,CLS-17,"close memo draft, figures cited to their source",,not_started,,
CLS-21,D+5,2026-04-07,Review the finance system access list against current roles,controls,Finance Manager,EMP-0467,"Director, Finance",EMP-0464,,access review with a sign off per exception,,not_started,,
CLS-22,D+5,2026-04-07,Assemble the evidence binder for the period,reporting,Staff Accountant,EMP-0493,Controller,EMP-0470,CLS-20,"evidence binder index, one folder per reconciliation",,not_started,,
CLS-23,D+5,2026-04-07,Approve the close and lock the period,reporting,Controller,EMP-0473,"VP, Finance",EMP-0462,CLS-22,period lock confirmation,,not_started,,
CLS-24,D+5,2026-04-07,Log the open items carried into the next close,controls,Finance Manager,EMP-0468,Controller,EMP-0473,CLS-23,open item log with an owner and a due date,,not_started,,
