line_id,entry_id,posting_date,gl_account,account_name,description,counterparty,counterparty_canon_id,cost_center,debit,credit,currency,entry_source,service_period_start,service_period_end,source_document
GL-202603-0001-1,GL-202603-0001,2026-03-11,4100,Professional Services Revenue,Implementation services milestone,Amberfield Logistics,co-102,Customer Success,,18940.96,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0001
GL-202603-0001-2,GL-202603-0001,2026-03-11,4100,Professional Services Revenue,Integration build hours,Amberfield Logistics,co-102,Customer Success,,18907.03,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0001
GL-202603-0002-1,GL-202603-0002,2026-03-24,4100,Professional Services Revenue,Professional services delivery,Fernwell Retail Group,co-103,Customer Success,,18244.31,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0002
GL-202603-0003-1,GL-202603-0003,2026-03-05,4100,Professional Services Revenue,Configuration workshop,Bramblecourt Analytics,co-140,Customer Success,,16584.32,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0003
GL-202603-0004-1,GL-202603-0004,2026-03-13,4100,Professional Services Revenue,Data migration services,Cinderbrook LLC,co-142,Customer Success,,17048.14,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0004
GL-202603-0005-1,GL-202603-0005,2026-03-24,4100,Professional Services Revenue,Solution design engagement,Amberline Holdings,co-143,Customer Success,,20352.04,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0005
GL-202603-0006-1,GL-202603-0006,2026-03-03,4100,Professional Services Revenue,Onboarding services,Foxglove Partners,co-144,Customer Success,,17502.18,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0006
GL-202603-0007-1,GL-202603-0007,2026-03-12,4100,Professional Services Revenue,Custom report build,Thornwick Partners,co-145,Customer Success,,18996.09,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0007
GL-202603-0008-1,GL-202603-0008,2026-03-23,4100,Professional Services Revenue,Professional services delivery,Sagebrook LLC,co-147,Customer Success,,17667.90,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0008
GL-202603-0009-1,GL-202603-0009,2026-03-03,4100,Professional Services Revenue,Configuration workshop,Wrenhaven Group,co-149,Customer Success,,18679.43,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0009
GL-202603-0010-1,GL-202603-0010,2026-03-09,4100,Professional Services Revenue,Data migration services,Elmstead Holdings,co-150,Customer Success,,20797.17,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0010
GL-202603-0011-1,GL-202603-0011,2026-03-19,4100,Professional Services Revenue,Solution design engagement,Copperfen Partners,co-151,Customer Success,,16855.06,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0011
GL-202603-0012-1,GL-202603-0012,2026-03-27,4100,Professional Services Revenue,Onboarding services,Silverdale Analytics,co-153,Customer Success,,16740.50,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0012
GL-202603-0013-1,GL-202603-0013,2026-03-06,4100,Professional Services Revenue,Custom report build,Windrow Holdings,co-154,Customer Success,,16906.56,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0013
GL-202603-0014-1,GL-202603-0014,2026-03-16,4100,Professional Services Revenue,Professional services delivery,Hazelmere Analytics,co-155,Customer Success,,19740.12,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0014
GL-202603-0015-1,GL-202603-0015,2026-03-27,4100,Professional Services Revenue,Configuration workshop,Gladewick LLC,co-160,Customer Success,,20968.13,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0015
GL-202603-0016-1,GL-202603-0016,2026-03-06,4100,Professional Services Revenue,Data migration services,Holloway Vale Partners,co-161,Customer Success,,16001.22,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0016
GL-202603-0017-1,GL-202603-0017,2026-03-19,4100,Professional Services Revenue,Solution design engagement,Kettlebrook Partners,co-164,Customer Success,,15718.81,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0017
GL-202603-0018-1,GL-202603-0018,2026-03-24,4100,Professional Services Revenue,Onboarding services,Bramblecourt LLC,co-165,Customer Success,,18332.17,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0018
GL-202603-0019-1,GL-202603-0019,2026-03-09,4100,Professional Services Revenue,Custom report build,Northfield Group,co-166,Customer Success,,20144.17,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0019
GL-202603-0020-1,GL-202603-0020,2026-03-17,4100,Professional Services Revenue,Professional services delivery,Fernwell Retail Group,co-103,Customer Success,,20414.42,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0020
GL-202603-0021-1,GL-202603-0021,2026-03-27,4100,Professional Services Revenue,Configuration workshop,Bramblecourt Analytics,co-140,Customer Success,,16313.40,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0021
GL-202603-0022-1,GL-202603-0022,2026-03-05,4100,Professional Services Revenue,Data migration services,Cinderbrook LLC,co-142,Customer Success,,15587.16,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0022
GL-202603-0023-1,GL-202603-0023,2026-03-17,4100,Professional Services Revenue,Solution design engagement,Amberline Holdings,co-143,Customer Success,,16342.19,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0023
GL-202603-0024-1,GL-202603-0024,2026-03-23,4100,Professional Services Revenue,Onboarding services,Foxglove Partners,co-144,Customer Success,,20050.70,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0024
GL-202603-0025-1,GL-202603-0025,2026-03-04,4100,Professional Services Revenue,Custom report build,Thornwick Partners,co-145,Customer Success,,17534.68,USD,ar_subledger,2026-03-01,2026-03-31,AR-202603-0025
GL-202603-0026-1,GL-202603-0026,2026-03-16,4100,Professional Services Revenue,Services credit memo for a shortened engagement,Sagebrook LLC,co-147,Customer Success,2817.73,,USD,manual,2026-03-01,2026-03-31,JV-202603-0001
GL-202603-0027-1,GL-202603-0027,2026-03-20,4100,Professional Services Revenue,Services credit memo for a rescheduled workshop,Wrenhaven Group,co-149,Customer Success,3054.14,,USD,manual,2026-03-01,2026-03-31,JV-202603-0002
GL-202603-0028-1,GL-202603-0028,2026-03-31,4100,Professional Services Revenue,Services credit memo for a shortened engagement,Elmstead Holdings,co-150,Customer Success,2935.60,,USD,manual,2026-03-01,2026-03-31,JV-202603-0003
GL-202603-0029-1,GL-202603-0029,2026-03-12,4100,Professional Services Revenue,Services credit memo for a rescheduled workshop,Copperfen Partners,co-151,Customer Success,2651.38,,USD,manual,2026-03-01,2026-03-31,JV-202603-0004
GL-202603-0030-1,GL-202603-0030,2026-03-18,5020,Customer Support Salaries,Tier one support coverage,Kestrelmoor Staffing Partners,co-183,Customer Success,25453.35,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0001
GL-202603-0031-1,GL-202603-0031,2026-03-30,5020,Customer Support Salaries,Weekend escalation cover,Kestrelmoor Staffing Partners,co-183,Customer Success,24715.01,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0002
GL-202603-0032-1,GL-202603-0032,2026-03-11,5020,Customer Support Salaries,Seasonal support staffing,Kestrelmoor Staffing Partners,co-183,Customer Success,27257.09,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0003
GL-202603-0032-2,GL-202603-0032,2026-03-11,5020,Customer Support Salaries,Interim support analyst hours,Kestrelmoor Staffing Partners,co-183,Customer Success,23001.86,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0003
GL-202603-0033-1,GL-202603-0033,2026-03-19,5020,Customer Support Salaries,Tier one support coverage,Kestrelmoor Staffing Partners,co-183,Customer Success,26303.69,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0004
GL-202603-0034-1,GL-202603-0034,2026-03-26,5020,Customer Support Salaries,Weekend escalation cover,Kestrelmoor Staffing Partners,co-183,Customer Success,22164.07,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0005
GL-202603-0035-1,GL-202603-0035,2026-03-05,5020,Customer Support Salaries,Seasonal support staffing,Kestrelmoor Staffing Partners,co-183,Customer Success,27220.87,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0006
GL-202603-0036-1,GL-202603-0036,2026-03-20,5020,Customer Support Salaries,Interim support analyst hours,Kestrelmoor Staffing Partners,co-183,Customer Success,23638.27,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0007
GL-202603-0036-2,GL-202603-0036,2026-03-20,5020,Customer Support Salaries,Tier one support coverage,Kestrelmoor Staffing Partners,co-183,Customer Success,24912.33,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0007
GL-202603-0037-1,GL-202603-0037,2026-03-25,5020,Customer Support Salaries,Weekend escalation cover,Kestrelmoor Staffing Partners,co-183,Customer Success,24622.38,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0008
GL-202603-0038-1,GL-202603-0038,2026-03-04,5020,Customer Support Salaries,Seasonal support staffing,Kestrelmoor Staffing Partners,co-183,Customer Success,21825.65,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0009
GL-202603-0038-2,GL-202603-0038,2026-03-04,5020,Customer Support Salaries,Interim support analyst hours,Kestrelmoor Staffing Partners,co-183,Customer Success,27436.97,,USD,ap_subledger,2026-03-01,2026-03-31,AP-202603-0009
