control_id,decision,data_class,amount_min_usd,amount_max_usd,ai_autonomy_level,approver_role,escalation_role,evidence_required,sends_money_signs_client_or_commits_date
DA-LDB-01,Draft a reply to a general enquiry from the studio's published service information,public,,,review_before_commit,project lead,owner,"the published service pages the reply draws on, and the project lead's read before it goes out",no
DA-LDB-02,Summarize a product data sheet or a published installation guide for the crew,public,,,autonomous,lead carpenter,project lead,a link to the published sheet or guide the summary cites,no
DA-LDB-03,Flag a delivery task that is past its planned end,internal,,,autonomous,project lead,owner,the task row and the planned end date the flag was raised from,no
DA-LDB-04,"Sort an inbound inquiry as in scope, out of scope or needing a question",internal,,,autonomous,project lead,owner,the inquiry row and the scope rule the sort applied,no
DA-LDB-05,Draft the weekly owner report from the invoice register and the payment log,internal,,,review_before_commit,project lead,owner,"the invoice and payment rows every figure is read from, checked by the project lead before the owner sees it",no
DA-LDB-06,Draft a client update that restates dates already committed,client-confidential,,,review_before_commit,project lead,owner,"the schedule each restated date is read from, and the project lead's read before sending",no
DA-LDB-07,Draft a payment reminder from the aging summary,client-confidential,,,review_before_commit,project lead,owner,"the aging row and the open installment rows the reminder states, and the project lead's read before sending",no
DA-LDB-08,Draft a feedback request or a referral message for a completed project,client-confidential,,,review_before_commit,project lead,owner,"the project log row showing no open support issue, and the project lead's read before sending",no
DA-LDB-09,Propose a job code for an uncoded expense,internal,0.00,4999.99,review_before_commit,lead carpenter,project lead,"the expense row, the proposed job code and the rule behind it",no
DA-LDB-10,Propose a job code for an uncoded expense,internal,5000.00,29999.99,review_before_commit,project lead,owner,"the expense row, the proposed job code and the rule behind it",no
DA-LDB-11,Propose a job code for an uncoded expense,internal,30000.00,,approval_before_action,project lead,owner,"the expense row, the proposed job code, the rule behind it and the project lead's approval before the code is applied",no
DA-LDB-12,Approve a materials or subcontract purchase for a job,internal,0.00,4999.99,review_before_commit,lead carpenter,project lead,the quote and the job's cost build up,no
DA-LDB-13,Approve a materials or subcontract purchase for a job,internal,5000.00,29999.99,approval_before_action,project lead,owner,"the quote, the job's cost build up and the project lead's approval before the order is placed",no
DA-LDB-14,Approve a materials or subcontract purchase for a job,internal,30000.00,,approval_before_action,project lead,owner,"a second quote, the job's cost build up and the project lead's approval before the order is placed",no
DA-LDB-15,Price a change order to put to the client,client-confidential,0.00,4999.99,review_before_commit,project lead,owner,the cost build up behind the price,no
DA-LDB-16,Price a change order to put to the client,client-confidential,5000.00,29999.99,approval_before_action,project lead,owner,the cost build up behind the price and the project lead's approval before it goes to the client,no
DA-LDB-17,Price a change order to put to the client,client-confidential,30000.00,,approval_before_action,project lead,owner,the cost build up behind the price and the project lead's approval before it goes to the client,no
DA-LDB-18,"Send a payment to a supplier, a subcontractor or a crew member",restricted,0.00,4999.99,prohibited,project lead,owner,"the approved bill, and a person releases the payment",yes
DA-LDB-19,"Send a payment to a supplier, a subcontractor or a crew member",restricted,5000.00,29999.99,prohibited,project lead,owner,"the approved bill, and a person releases the payment",yes
DA-LDB-20,"Send a payment to a supplier, a subcontractor or a crew member",restricted,30000.00,,prohibited,project lead,owner,"the approved bill, and a person releases the payment",yes
DA-LDB-21,Sign a contract or a change order with a client,client-confidential,0.00,4999.99,prohibited,project lead,owner,"the signed document, signed by a person",yes
DA-LDB-22,Sign a contract or a change order with a client,client-confidential,5000.00,29999.99,prohibited,project lead,owner,"the signed document, signed by a person",yes
DA-LDB-23,Sign a contract or a change order with a client,client-confidential,30000.00,,prohibited,project lead,owner,"the signed document, signed by a person",yes
DA-LDB-24,"Commit a start, completion or handover date to a client",client-confidential,,,prohibited,project lead,owner,"the schedule the date is read from, and a person commits the date",yes
DA-LDB-25,Give a trade or a crew member the access arrangement for a client's home,restricted,,,approval_before_action,project lead,owner,"the project lead's approval, and the arrangement is given in person or by phone and never written into a message",no
DA-LDB-26,Look up a client's financing terms to answer a payment question,restricted,,,approval_before_action,project lead,owner,"the project lead's approval before the restricted file is opened, and an answer that does not restate the terms",no
DA-LDB-27,Prepare crew pay figures from the timecards,restricted,,,approval_before_action,project lead,owner,"the timecard rows each figure is read from, and the project lead's approval before any figure leaves the studio's own tools",no
